Year,State,Data Status,Rev_Thousand Dollars,Sales_Megawatthours,Customers_Count,Price_Cents/kWh
2021,MO,Final,4071545,35668409,2861927,11.41
2021,MS,Final,2145795,18569936,1321576,11.56
2021,MT,Final,623923,5559446,531395,11.22
2021,NC,Final,6897040,60914684,4774589,11.32
2021,ND,Final,530311,4888401,391338,10.85
2021,NE,Final,1127997,10492369,869643,10.75
2021,NH,Final,959250,4831911,638267,19.85
2021,NJ,Final,4921080,30090371,3648912,16.35
2021,NM,Final,958086,7088358,914496,13.52
2021,NV,Final,1651794,14373357,1249390,11.49
2021,NY,Final,10161755,52156882,7256212,19.48
2021,OH,Final,6789217,53171193,5041900,12.77
2021,OK,Final,2612424,23745867,1818808,11.0
2021,OR,Final,2307363,20285346,1805680,11.37
2021,PA,Final,7697613,55945176,5477367,13.76
2021,RI,Final,698380,3131533,446319,22.3
2021,SC,Final,4037454,31385796,2426701,12.86
2021,SD,Final,616517,5043964,412655,12.22
2021,TN,Final,4741606,42840442,3016642,11.07
2021,TX,Final,18772300,155075136,11815245,12.11
2021,UT,Final,1142206,10950415,1176947,10.43
2021,VA,Final,5579585,46634411,3551530,11.96
2021,VT,Final,418734,2174489,319442,19.26
2021,WA,Final,3843746,38021233,3220810,10.11
2021,WI,Final,3320221,22864047,2761985,14.52
2021,WV,Final,1343207,11050705,863647,12.15
2021,WY,Final,323702,2897498,278597,11.17
2021,US,Final,200833874,1470486882,138308656,13.66
2020,AK,Final,471526,2089046,315206,22.57
2020,AL,Final,3939867,31331041,2280740,12.57
2020,AR,Final,1871422,17980206,1413491,10.41
2020,AZ,Final,4751047,38707416,2896338,12.27
2020,CA,Final,19413314,94934563,13834718,20.45
2020,CO,Final,2531337,20482502,2400353,12.36
2020,CT,Final,2948780,12981839,1521112,22.71
2020,DC,Final,309841,2452589,290466,12.63
2020,DE,Final,627031,4991134,446275,12.56
2020,FL,Final,15021436,133298869,9731237,11.27
2020,GA,Final,6995859,58220280,4487426,12.02
2020,HI,Final,862771,2849114,442002,30.28
2020,IA,Final,1815028,14567483,1403378,12.46
2020,ID,Final,892473,8970751,782558,9.95
2020,IL,Final,6021966,46170538,5339608,13.04
2020,IN,Final,4217038,32878355,2920260,12.83
2020,KS,Final,1747076,13592444,1282519,12.85
2020,KY,Final,2818425,25935096,2013908,10.87
2020,LA,Final,2942989,30440746,2112925,9.67
2020,MA,Final,4468961,20345178,2817550,21.97
2020,MD,Final,3551281,27306375,2376981,13.01
2020,ME,Final,824665,4905263,717559,16.81
2020,MI,Final,5831461,35862912,4423593,16.26
2020,MN,Final,3020236,22935672,2464748,13.17
2020,MO,Final,3922562,34950370,2833909,11.22
2020,MS,Final,2010535,17994833,1308149,11.17
2020,MT,Final,604844,5379965,522378,11.24
2020,NC,Final,6672919,58641572,4695091,11.38
2020,ND,Final,526673,5046551,387505,10.44
2020,NE,Final,1135271,10514944,864835,10.8
2020,NH,Final,911967,4790374,633234,19.04
